Lon Lat SoilCode
12.857142448425293 -2.3376541137695312 2
93.913040161132812 50.960800170898438 2
-66.521728515625 -7.9480252265930176 3
38.297870635986328 -6.0779008865356445 4
-133.63636779785156 63.116500854492188 1
14.399999618530273 23.844070434570312 2
96.792449951171875 44.415393829345703 2
-62.857147216796875 -35.064800262451172 4
45 -24.779132843017578 2
-120 43.480335235595703 3
16.799999237060547 23.844070434570312 2
101.73912811279297 50.960800170898438 2
-60 -35.064800262451172 4
50.526317596435547 40.675159454345703 2
-114.70588684082031 46.285511016845703 2
21.25 26.649253845214844 2
115.54054260253906 -24.779132843017578 2
-43.54840087890625 -7.012962818145752 1
57.857143402099609 67.791732788085938 2
-111.09375 34.129737854003906 3
24.269662857055664 10.753210067749023 1
118.35616302490234 -25.714193344116211 2
-43.2911376953125 -20.103824615478516 2
64.285713195800781 67.791732788085938 2
-103.84616088867188 57.506191253662109 1
26.292135238647461 10.753210067749023 1
120.82191467285156 -25.714193344116211 2
-49.28570556640625 -15.428518295288086 4
70.714286804199219 67.791732788085938 2
-104.11764526367188 46.285511016845703 2
28.636363983154297 52.830913543701172 2
122.83783721923828 -24.779132843017578 1
-41.25 -4.2077779769897461 4
68.684211730957031 58.441242218017578 2
-100.58822631835938 46.285511016845703 2
28.125 4.2077779769897461 4
125.27027130126953 -24.779132843017578 1
-35.80645751953125 -7.012962818145752 3
75.599998474121094 70.596855163574219 3
-87.857147216796875 54.701026916503906 5
29.700000762939453 0.4675309956073761 4
128.21917724609375 -25.714193344116211 2
-9 19.168764114379883 1
78.15789794921875 58.441242218017578 2
-80.52630615234375 40.675159454345703 3
33.599998474121094 23.844070434570312 3
134.44444274902344 -18.23370361328125 4
-8.076934814453125 21.038887023925781 1
82.894737243652344 58.441242218017578 2
-75 54.701026916503906 1
36.404495239257812 10.753210067749023 4
136.66667175292969 -18.23370361328125 1
3.1395349502563477 13.558395385742188 1
96 51.895858764648438 2
-70.71429443359375 54.701026916503906 1
42 23.844070434570312 2
140.39999389648438 -23.844070434570312 4
5.2325582504272461 13.558395385742188 1
96.923080444335938 45.350452423095703 2
-68.522735595703125 -11.688272476196289 4
40.449440002441406 10.753210067749023 2
143.23944091796875 -27.584314346313477 4
10.588234901428223 62.181453704833984 1
102.85713958740234 21.973947525024414 4
-64.948455810546875 -3.2727160453796387 3
46.799999237060547 23.844070434570312 3
166.66667175292969 68.726776123046875 2
14.84536075592041 -3.2727160453796387 1
104.44444274902344 18.23370361328125 4
-58.695648193359375 -29.454435348510742 4
51.63934326171875 36.934921264648438 2
-142.94117736816406 62.181453704833984 1
17.448980331420898 2.3376541137695312 2
107.532470703125 21.973947525024414 3
-61.23712158203125 -3.2727160453796387 3
50.561798095703125 10.753210067749023 2
-121.03448486328125 39.740100860595703 4
18 28.519374847412109 2
111.31578826904297 58.441242218017578 2
-59.210540771484375 -22.90900993347168 3
50 60.311347961425781 2
